strike,last_price,bid,ask
105.0,108.2,108.2,108.2
110.0,103.01,103.01,103.01
115.0,94.52,94.52,94.52
120.0,90.15,90.15,90.15
130.0,83.35,83.35,83.35
145.0,68.6,68.6,68.6
150.0,65.66,65.4,65.66
155.0,60.93,60.93,61.1
160.0,55.0,55.0,55.0
165.0,51.9,51.5,51.95
170.0,47.4,47.4,47.41
175.0,43.1,41.79,43.1
180.0,39.0,38.0,39.21
185.0,35.03,33.57,35.03
190.0,31.11,29.25,31.95
195.0,27.37,26.33,27.5
200.0,24.29,22.9,24.4
205.0,21.0,19.75,21.0
210.0,17.4,16.0,18.2
215.0,14.59,13.35,15.3
220.0,11.9,10.38,12.75
225.0,9.83,8.85,10.4
230.0,7.69,7.05,8.3
235.0,6.23,5.4,6.45
240.0,4.65,3.95,4.99
245.0,3.69,3.15,3.71
250.0,2.74,2.36,2.9
255.0,2.05,1.8,2.14
260.0,1.53,1.34,1.63
265.0,1.21,1.03,1.24
270.0,0.93,0.87,0.95
275.0,0.69,0.67,0.74
280.0,0.56,0.48,0.58
285.0,0.45,0.41,0.45
290.0,0.35,0.31,0.36
295.0,0.3,0.28,0.3
300.0,0.24,0.21,0.26
305.0,0.21,0.2,0.21
310.0,0.17,0.16,0.17
320.0,0.12,0.12,0.12
