strike,last_price,bid,ask
100.0,12.6,12.6,12.6
105.0,8.7,8.7,8.7
110.0,5.9,5.9,6.4
115.0,4.0,4.0,4.0
120.0,2.6,2.6,2.6
125.0,1.4,1.4,1.4
135.0,0.5,0.5,0.5
