strike,last_price,bid,ask
60.0,11.99,11.99,11.99
65.0,8.1,8.0,8.55
67.5,6.51,6.51,6.51
70.0,5.03,5.03,5.4
72.5,3.93,3.9,4.15
75.0,2.91,2.91,3.07
77.5,2.17,2.17,2.36
80.0,1.6,1.59,1.75
82.5,1.17,1.16,1.25
85.0,0.91,0.87,0.95
87.5,0.67,0.67,0.67
90.0,0.5,0.48,0.5
