strike,last_price,bid,ask
165,84.21,84.21,84.21
170,80.34,80.34,80.34
185,65.72,65.72,65.72
190,60.08,60.08,60.08
195,53.58,53.58,53.58
200,59.0,59.0,59.0
205,48.48,48.48,48.48
210,47.57,47.57,47.57
215,42.13,42.13,42.13
220,41.56,41.56,41.56
225,31.65,31.65,31.65
230,30.67,30.67,30.67
235,27.76,27.76,27.76
240,23.59,23.59,23.59
245,19.2,19.2,19.2
250,15.83,15.83,15.83
255,12.25,12.25,12.25
260,8.9,8.9,8.9
265,6.65,6.65,6.65
270,4.5,4.5,4.5
275,2.79,2.79,2.79
280,1.8,1.8,1.8
285,1.05,1.05,1.05
290,0.64,0.64,0.64
295,0.43,0.43,0.43
300,0.28,0.28,0.28
305,0.2,0.2,0.2
310,0.1,0.1,0.1
315,0.06,0.06,0.06
320,0.07,0.07,0.07
