strike,last_price,bid,ask
60.0,54.41,54.4,54.49
65.0,49.7,49.65,49.75
70.0,44.47,44.21,46.15
75.0,40.31,40.31,42.0
80.0,35.7,34.92,36.9
85.0,31.17,31.17,32.38
90.0,27.5,26.7,28.5
95.0,22.66,22.66,24.8
100.0,18.9,18.9,21.2
105.0,15.7,15.7,17.95
110.0,12.9,12.9,14.9
115.0,10.4,10.3,12.26
120.0,8.25,8.25,9.9
125.0,6.5,6.5,7.95
130.0,5.1,5.09,6.3
135.0,3.95,3.95,4.95
140.0,3.05,3.0,3.85
145.0,2.44,2.44,3.0
150.0,1.85,1.85,2.36
155.0,1.48,1.48,1.84
160.0,1.17,1.16,1.48
165.0,0.94,0.94,1.18
